Property Details	تفاصيل العقار
Property	ممتلكات
Properties	عقارات
Development	تنمية
Developments	التطورات
Details	ادق التفاصيل
Select	اختار
General	جنرال لواء
Rates & Availability	الأسعار وتوافر الغرف
Reviews	استعراض
Description	وصف
Amenities	وسائل الراحة
Rates	اسعار
Availability	توفر
Compare	قارن بين
Property Name	اسم الملكية
Category	فئة
Beds	الأسرة
Baths	الحمامات
Sleeps	ينام
Book Now	كتاب الان
Details & Availability	تفاصيل وتوافر الغرف
Attractions	جاذبية
Distance	بعد
Stories	قصص
Floor	طابق
No rates available	لا الاسعار
Back to Results	الرجوع الى النتائج
Search Buckets	دلاء البحث
Specials	عروض خاصة
All Rentals	جميع الإيجارات
Would you like to	هل تريد أن
Print this Page	طباعة هذه الصفحة
Available Properties	الخصائص المتوفرة
This page is secure	هذه الصفحة غير آمنة
check here	التحقق من هنا
Unit Size	وحدة الحجم
Posted on	نشر على
Map & Attractions	الخريطة و الأماكن الجذابة
Map	خريطة
Location	موقع
Nearby Rentals	الإيجارات القريبة
Enquire Now	الاستفسار الآن
Have a Question?	هل لديك سؤال؟
Name	اسم
Phone	هاتف
Email	البريد الالكتروني
Toll Free	رقم تلفون مجاني
Fax	فاكس
Direct	ع طول
Mobile	الهاتف المحمول
Skype	سكاى بى
Web Address	العنوان على الإنترنت
Contact Us	اتصل بنا
Our Address	عنواننا
Talk to Us	تكلمي معنا
View Larger Map	عرض خريطة أكبر
Check-In	تحقق في
Check-Out	الدفع
How Did You Hear About Us?	كيف سمعت عنا؟
Comments	تعليقات
Submit	عرض
You May Also Like	ربما يعجبك أيضا
News & Events	أخبار وأحداث
Connect With Us	تواصل معنا
Find your InstaVilla	البحث InstaVilla الخاص بك
Search for Availability	البحث عن توافر
Search	بحث
Clear	واضح
Advanced	متقدم
Applies To	ينطبق على
Adults	الكبار
Children	الأطفال
Update	تحديث
Close	قريب
more	أكثر
less	أقل
Show More Results	تظهر نتائج أكثر
There are no more results	لا يوجد المزيد من النتائج
List	قائمة
Photo	صور
View as	عرض بشكل
There are currently no active promotions/specials	لا يوجد حاليا أي النشطة الترقيات / العروض الخاصة
Effective Date	تاريخ مؤثر
Expiration Date	تاريخ انتهاء الصلاحية
Apply	تقديم طلب
Coupon Code	رمز القسيمة
See Details	انظر التفاصيل
Address	محل الاقامه
City	مدينة
State	دولة
Country	بلد
Region	منطقة
Neighborhood	حي
Postal Code	الرمز البريدي
Province	مقاطعة
Town	مدينة
Fast Secure Online Booking	سريع تأمين الحجز عبر الانترنت
Charges	الرسوم
Taxes & Fees	الضرائب والرسوم
Rent (including Taxes,Fees,& Deposits)	الإيجار (بما في ذلك الضرائب والرسوم، والودائع)
Rent (including Taxes & Fees)	الإيجار (بما في ذلك الضرائب والرسوم)
Rent (including Taxes)	الإيجار (بما في ذلك الضرائب)
Rent (including Fees)	الإيجار (بما في ذلك الرسوم)
Optional Fees	الرسوم اختياري
