Property Details	Detalii proprietate
Property	Proprietate
Properties	Proprietăți
Development	Amenajare
Developments	Amenajări
Details	Detalii
Select	Selecționează
General	General
Rates & Availability	Preț și disponibilitate
Reviews	Comentarii
Description	Descriere
Amenities	Facilități
Rates	Prețuri
Availability	Disponibilitate
Compare	Compară
Property Name	Nume proprietate
Category	Categorie
Beds	Paturi
Baths	Băi
Sleeps	Nr. Persoane
Book Now	Rezervă acum
Details & Availability	Detalii și Disponibilitate
Attractions	Atracții
Distance	Distanță
Stories	Etaj
Floor	Etaj
No rates available	Fără preț
Back to Results	Inapoi la rezultate
Search Buckets	Căutare predefinită
Specials	Promoții
All Rentals	Toate proprietățiile
Would you like to	Ți-ar plăcea să
Print this Page	Printează această pagină
Available Properties	Proprietăți disponibile
This page is secure	Această pagină este securizată
check here	vezi aici
Unit Size	Dimensiune unitate
Posted on	Publicat
Map & Attractions	Hartă și Atracții
Map	Hartă
Location	Localizare
Nearby Rentals	Proprietăți in apropiere
Enquire Now	Mai multe detalii
Have a Question?	Ai o întrebare?
Name	Nume
Phone	Telefon
Email	E-mail
Toll Free	Fără taxe
Fax	Fax
Direct	Direct
Mobile	Mobil
Skype	Skype
Web Address	Adresa Web
Contact Us	Contactează-ne
Our Address	Adresa noastr?
Talk to Us	Vorbește cu noi
View Larger Map	Vezi harta mărită
Check-In	Intrare
Check-Out	Ieșire
How Did You Hear About Us?	Cum ai auzit de noi?
Comments	Comentarii
Submit	Trimite
You May Also Like	Te-ar putea interesa și
News & Events	Știri și evenimente
Connect With Us	Conectează-te cu noi
Find your InstaVilla	Găsește InstaVilla ta
Search for Availability	Caută disponibilitate
Search	Căutare
Clear	Resetează
Advanced	Avansat
Applies To	Se aplică la
Adults	Adulți
Children	Copii
Update	Actualizare
Close	Închide
more	mai mult
less	mai puțin
Show More Results	Arată mai multe rezultate
There are no more results	Nu există alte rezultate
List	Listă
Photo	Foto
View as	Vezi ca
My WishList	Lista mea de preferințe
WishList	Listă preferințe
WishListed	În lista de preferințe
There are currently no active promotions/specials	Momentan nu există promoții
Effective Date	Data disponibilă
Expiration Date	Data expirării
Apply	Aplică
Coupon Code	Cod promoțional
See Details	Vezi detalii
Address	Adresă
City	Oraș
State	Județ
Country	Țară
Region	Regiune
Neighborhood	Cartier
Postal Code	Cod Poștal
Province	Provincie
Town	Oraș
Fast Secure Online Booking	Rezervare online securizată
Charges	Taxe
Taxes & Fees	Impozite și Taxe
Rent (including Taxes,Fees,& Deposits)	Chirie (include impozite, taxe și depozite)
Rent (including Taxes & Fees)	Chirie (include taxe și impozite)
Rent (including Taxes)	Chirie (include impozite)
Rent (including Fees)	Chirie (include taxe)
Optional Fees	Taxe opționale
Refundable Security Deposit	Rambursabil de Garantare a Depozitelor
Booking Details	Rezervare Detalii
Rent	Chirie
Fees	Taxe
Taxes	Impozite
Optional Fees & Services	Taxe opționale și servicii
Deposits	Depozite
Discounts	Reduceri
Sub Total	Sub total
Total	Total
First Name	Prenume
Last Name	Nume
Special Requests	Cereri speciale
Change Info	Schimbarea detalii
Accept Terms and Conditions	Acceptă Termenii și condițiile
Please fill out all required fields	Vă rugăm să completați toate câmpurile obligatorii
The entered credit card is invalid	Cardul de credit introdus nu este valid
Please accept the terms and conditions	Vă rugăm să acceptați termenele și condițiile
Guest Information	Detalii oaspeți
Credit Card Information	Detalii card de credit
Name on Card	Numele de pe card
Card Type	Tipul de card
Card Number	Numărul cardului
Expiration	Expiră
Month	Lună
Year	An
Security Code	Cod de securitate
Amount to be charged now	Suma de plată
Amount Paid	Suma plătită
Amount Due Now	Suma de plată
Billing Address	Adresa de facturare
Street Line 1	Stradă Linia 1
Street Line 2	Stradă Linia 2
I have read and accept the terms and conditions	Am citit și acceptat termenele și condițiile
Terms of Service	Condiții de utilizare
Rental Policy	Condiții de inchiriere
Booking Disclaimer	Aviz legal
Review Now	Verifică acum
Reserve Now	Rezervă acum
You Saved	Ai salvat
Status	Situație
Created On	Creat
Hold Confirmation Number	Salvează numărul de confirmare
Quoted Rate	Ofertă
We are looking forward to your visit	Așteptăm cu nerăbdare vizita dumneavoastră
in the mean time	între timp
you may want to review one of these links	poate doriți să revizuiți unul dintre link-uri următoare
Map and Description of Local Attractions	Harta și descrierea atracțiilor  din zonă
More Info About	Mai multe detalii despre
located in	localizat în
Complete your booking now	Completați rezervarea acum
click here	apasă aici
Your booking will be held until	Rezervare va fi păstrată până în
A service from	Un serviciu de la
Best Regards	Toate cele bune
Thank you for your interest in	Vă mulțumim pentru interesul dumneavoastră
Toll-Free	Fără taxe
Confirmed	Confirmat
Held	Salvat/Reținut/Păstrat
Checked In	Intrare
Checked Out	Ieșire
Cancelled	Anulat
Pending Confirmation	Așteptare confirmare
Weather	Vreme
Special Offers	Oferte Speciale
Blog	Blog
Featured Suites	Proprietăți recomandate
Revise Search	Revizuire căutare
Similar Properties	Proprietăți similare
Property Finders	Căutare predefinită
Digital Footprint	Amprentă digitală
Last Booking	Ultima rezervare
Last Email	Ultimul e-mail
Last Event	Ultimul eveniment
Quote is valid for	Oferta este valabilă pentru
minute(s)	minut (e)
second(s)	secundă/secunde
The credit card number should contain only digits	Numărul cardului de credit trebuie să conțină numai cifre
This quote is not valid any more	Acestă ofertă nu mai este valabilă
The page will be automatically refreshed	Pagina va fi actualizată automat
You will pay in	Veți plăti în
There are no properties in your wish list	Nu există proprietăți în lista ta de preferințe
Garage Spaces	Spațiu garaj
An unexpected error occurred	A apărut o eroare neașteptată
Please try again later	Vă rugăm să încercați din nou mai târziu
Booking not found	Rezervarea nu a fost găsită
Make a Payment	Efectuați o plată
Please verify this booking belongs to you	Vă rugăm să verificați dacă acestă rezervare vă aparține
This booking has been canceled	Acestă rezervare a fost anulată
Pay Now	Plătește acum
Filter by	Filtrează
Response	Răspuns
See full review on	Vezi comentariul complet
Lot Size	Suprafață teren
Privacy	Intimitate
Privacy Policy	Politică de confidențialitate
Policy	Poliță
Terms	Termeni
Nights	Nopţi
Inquire Now	Întreba acum
Thank you, your request has been submitted.	Vă mulţumesc, s-a depus solicitarea.
Booking %s was not found.	Rezervare %s nu a fost găsit.
Try again	încearcă din nou
Please contact us to complete this transaction:	Vă rugăm să contactaţi-ne pentru a finaliza această tranzacţie:
Booking ID	ID rezervare
There was an error with PayPal	Eroare cu PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Din păcate, plata nu a reuşit. Nu vă faceţi griji, rezervarea dumneavoastră este în siguranţă; dar va trebui să încercaţi din nou plata.
Payment Confirmed	Plată confirmată
Booking Confirmed	Rezervare confirmată
Booking Complete	Rezervaţi completă
Payment Complete	Plată completă
Create Booking	Crea rezervare
Complete Payment	Plată completă
Next, please confirm your %s PayPal payment.	Apoi, vă rugăm să confirmaţi %s plată PayPal.
Confirm this payment	Confirma această plată
Please contact us to complete this transaction:	Vă rugăm să contactaţi-ne pentru a finaliza această tranzacţie:
We're sorry, but your payment was unsuccessful.	Ne pare rău, dar plata nu a reușit.
