Property Details	Описание объектов
Property	Объект
Properties	Объекты
Development	Урбанизация
Developments	Урбанизации
Details	Детали
Select	Выбрать
General	Общее
Rates & Availability	Тарифы и Наличие
Reviews	Отзывы
Description	Описание
Amenities	Удобства
Rates	Тарифы
Availability	Наличие
Compare	Сравнить
Property Name	Название объекта
Category	Категория
Beds	Кроватей
Baths	Ванных
Sleeps	Человек
Book Now	Забронировать сейчас
Details & Availability	Описание и наличие
Attractions	Достопримечательности
Distance	Расстояние
Stories	Уровень
Floor	Этажи
No rates available	Тариф отсутствует
Back to Results	Вернуться к результату
Search Buckets	Поиск по категориям
Specials	Специальные предложения
All Rentals	Все объекты
Would you like to	Вы хотели бы 
Print this Page	Распечатать эту страницу
Available Properties	Доступные объекты
This page is secure	Это защищенная страница
check here	Проверьте здесь 
Unit Size	Размер объекта
Posted on	Опубликовано 
Map & Attractions	Карта и Достопримечательности
Map	Карта
Location	Местонахождение
Nearby Rentals	Объекты рядом
Enquire Now	Запросить сейчас
Have a Question?	Есть вопрос?
Name	Имя и Фамилия
Phone	Телефон
Email	Email
Toll Free	Бесплатный номер
Fax	Факс
Direct	Городской номер
Mobile	Мобильный
Skype	Skype
Talk to Us	Свяжитесь с нами
View Larger Map	Посмотреть на большой карте
Check-In	Заезд
Check-Out	Выезд
How Did You Hear About Us?	Как Вы узнали о нас?
Comments	Комментарии
Submit	Отправить
You May Also Like	Вам также может понравиться
News & Events	Новости
Connect With Us	Соединитесь с нами
Find your InstaVilla	Найдите Ваш объект
Search for Availability	Поиск по наличию
Search	Поиск
Clear	Очистить
Advanced	Дополнительно
Applies To	Применяется для
Adults	Взрослые
Children	Дети
Update	Обновить
Close	Закрыть
more	Больше
less	Меньше
Show More Results	Показать больше результатов
There are no more results	Нет больше результатов
List	Список
Photo	Фото
View as	Посмотреть как 
My WishList	Мой список пожеланий
WishList	Список пожеланий 
WishListed	Отмеченный в списке пожеланий
There are currently no active promotions/specials 	На данный момент нет специальных предложений
Effective Date	Дата начала
Expiration Date	Дата окончания
Apply	Применить
Coupon Code	Купон
See Details	Посмотреть детали
Address	Адрес
City	Город
State	Область
Country	Страна
Region	Регион
Neighborhood	Район
Postal Code	Почтовый индекс
Province	Округ
Town	Город
Fast Secure Online Booking	Быстрое защищенное онлайн бронирование
Charges	Оплата
Taxes & Fees	Налоги и Сборы 
Rent (including Taxes,Fees,& Deposits)	Аренда (включая Налоги, Сборы и Депозиты) 
Rent (including Taxes & Fees)	Аренда (включая Налоги и Сборы)
Rent (including Taxes)	Аренда (включая Налоги)
Rent (including Fees)	Аренда (включая Сборы)
Optional Fees	Дополнительные сборы 
Refundable Security Deposit	Возвращаемый страховой депозит 
Booking Details	Детали бронирования
Rent	Аренда
Fees	Сборы
Taxes  	Налоги
Optional Fees & Services	Дополнительные сборы и услуги
Deposits	Депозиты
Discounts	Скидки
Sub Total	Промежуточный итог
Total	Итог
First Name	Имя
Last Name	Фамилия
Special Requests	Особые пожелания
Change Info	Изменить информацию
Accept Terms and Conditions	Принять условия
Please fill out all required fields	Пожалуйста,заполните обязательные поля
The entered credit card is invalid	Кредитная карта недействительна
Please accept the terms and conditions	Пожалуйста,примите условия
Guest Information	Информация о госте
Credit Card Information	Информация о кредитной карте
Name on Card	Владелец карты
Card Type	Тип карты
Card Number	Номер карты
Expiration	Действительна до
Month	Месяц
Year	Год
Security Code	Код безопасности
Amount to be charged now	Сумма к списанию сейчас
Amount Paid	Оплаченная сумма
Amount Due Now	Сумма к оплате сейчас
Billing Address	Платежный адрес
Street Line 1	Улица строчка 1
Street Line 2	Улица строчка 2
I have read and accept the terms and conditions	Я прочитал и принимаю правила и условия
Terms of Service 	Условия использования
Rental Policy	Правила аренды
Booking Disclaimer	Условия предоставления услуг 
Review Now	Просмотреть сейчас
Reserve Now	Забронировать сейчас 
You Saved	Сохранено
Status	Статус
Created On	Дата создания
Hold Confirmation Number	Удерживать номер подтверждения 
Quoted Rate	Указанный тариф
We are looking forward to your visit	Мы с нетерпением ожидаем вашего визита
in the mean time	в это же время
you may want to review one of these links	Вы можете ознакомиться с одной из этих ссылок
Map and Description of Local Attractions	Карта и описание достопримечательностей 
More Info About	Дополнительная информация
Complete your booking now	Завершите Ваше бронирование сейчас
click here 	Кликните здесь
Your booking will be held until	Ваша бронь будет удерживаться до
A service from	Сервис от
Best Regards	С наилучшими пожеланиями
Thank you for your interest in	Спасибо за ваш интерес
Toll-Free	Бесплатный
Confirmed	Подтверждено 
Held 	Удержан 
Checked In	Заехал
Checked Out 	Выехал
Cancelled	Отменено
Pending Confirmation	Ожидает подтверждения
Weather	Погода
Special Offers	Специальные предложения
Featured Suites	Варианты объектов
Revise Search	Изменить поиск
Similar Properties	Схожие объекты
Property Finders 	Поиск по категориям
Digital Footprint	Последние действия
Last Booking	Последнее бронирование
Last Email	Последний email
Last Event	Последнее событие
Quote is valid for	Тариф действителен до
minute(s)	минута(ы)
second(s)	секунда(ы)
The credit card number should contain only digits	Номер кредитной карты должен содержать только цифры
This quote is not valid any more 	Тариф уже не действителен
The page will be automatically refreshed	Страница будет автоматически обновлена
You will pay in	Вы заплатите в
There are no properties in your wish list	В Вашем списке пожеланий нет объектов
Garage Spaces	Mестa в гараже
An unexpected error occurred	Произошла непредвиденная ошибка
Please try again later	Пожалуйста, попробуйте снова позже
