Property Details	รายละเอียดทรัพย์สิน
Property	คุณสมบัติ
Properties	สรรพคุณ
Development	พัฒนาการ
Developments	การพัฒนา
Details	รายละเอียด
Select	เลือก
General	ทั่วไป
Rates & Availability	ห้องพักและราคา
Reviews	ความคิดเห็น
Description	ลักษณะ
Amenities	สิ่งอำนวยความสะดวก
Rates	ราคา
Availability	สถานะ
Compare	เปรียบเทียบ
Property Name	ชื่อสถานที่ให้บริการ
Category	ประเภท
Beds	เตียง
Baths	ห้องอาบน้ำ
Sleeps	นอน
Book Now	จองตอนนี้
Details & Availability	รายละเอียดและสถานะ
Attractions	สถานที่ท่องเที่ยว
Distance	ระยะทาง
Stories	เรื่องที่
Floor	ชั้น
No rates available	อัตราไม่มี
Back to Results	กลับไปยังผล
Search Buckets	ค้นหาบุ้งกี๋
Specials	พิเศษ
All Rentals	ให้เช่าทั้งหมด
Would you like to	คุณต้องการที่จะ
Print this Page	พิมพ์หน้านี้
Available Properties	คุณสมบัติที่พร้อม
This page is secure	หน้านี้มีความปลอดภัย
check here	ตรวจสอบที่นี่
Unit Size	ขนาดหน่วย
Posted on	โพสต์วัน
Map & Attractions	แผนที่และสถานที่ท่องเที่ยว
Map	แผนที่
Location	สถานที่
Nearby Rentals	ให้เช่าที่ใกล้เคียง
Enquire Now	สอบถามตอนนี้
Have a Question?	มีคำถาม?
Name	ชื่อ
Phone	โทรศัพท์
Email	อีเมล์
Toll Free	โทรฟรี
Fax	แฟกซ์
Direct	โดยตรง
Mobile	โทรศัพท์มือถือ
Skype	Skype
Web Address	ที่อยู่เว็บ
Contact Us	ติดต่อเรา
Our Address	ที่อยู่ของเรา
Talk to Us	พูดคุยกับเรา
View Larger Map	ดูแผนที่ขนาดใหญ่
Check-In	เช็คอิน
Check-Out	เช็คเอาท์
How Did You Hear About Us?	คุณรู้จักเกี่ยวกับเรา?
Comments	ความคิดเห็น
Submit	เสนอ
You May Also Like	คุณอาจต้องการ
News & Events	ข่าวและกิจกรรม
Connect With Us	เชื่อมต่อกับเรา
Find your InstaVilla	ค้นหา InstaVilla ของคุณ
Search for Availability	ค้นหาสถานะ
Search	ค้นหา
Clear	ชัดเจน
Advanced	ก้าวหน้า
Applies To	นำไปใช้กับ
Adults	ผู้ใหญ่
Children	เด็ก ๆ
Update	ปรับปรุง
Close	ใกล้
more	มากกว่า
less	น้อยกว่า
Show More Results	แสดงผลอื่น ๆ
There are no more results	ไม่มีผลมากขึ้น
List	รายการ
Photo	ภาพถ่าย
View as	ดูรายละเอียดเพิ่มเติม
