Property Details	Chi tiết Khách sạn
Property	Bất động sản
Properties	Thuộc tính
Development	Phát triển
Developments	Sự phát triển
Details	Chi tiết
Select	Lựa chọn
General	Chung
Rates & Availability	Giá và sẵn có
Reviews	Nhận xét
Description	Miêu tả
Amenities	Tiện nghi
Rates	Giá
Availability	Sẵn có
Compare	So sánh
Property Name	Tên Tài Sản
Category	Category
Beds	Giường
Baths	Số phòng tắm
Sleeps	Sleeps
Book Now	Đặt Bây Giơ
Details & Availability	Chi tiết & Sẵn có
Attractions	Danh lam thắng cảnh
Distance	Khoảng cách
Stories	Câu chuyện
Floor	Sàn nhà
No rates available	Không có giá cả rẻ
Back to Results	Trở lại kết quả
Search Buckets	Tìm kiếm Xô
Specials	Khuyến mãi
All Rentals	Tất cả Cho thuê nhà
Would you like to	Bạn có muốn
Print this Page	In trang này
Available Properties	Thuộc tính sẵn
This page is secure	Trang này là an toàn
check here	kiểm tra ở đây
Unit Size	Đơn vị Kích
Posted on	Đăng trên
Map & Attractions	Bản đồ & Danh lam thắng cảnh
Map	Bản đồ
Location	Vị trí
Nearby Rentals	Cho thuê nhà gần đó
Enquire Now	Hỏi thông tin Giờ
Have a Question?	Có một câu hỏi?
Name	Tên
Phone	Điện thoại
Email	Email
Toll Free	Toll Free
Fax	Fax
Direct	Trực tiếp
Mobile	Di động
Skype	Skype
Web Address	Địa chỉ Web
Contact Us	Liên Hệ Chúng Tôi
Our Address	Địa chỉ của chúng tôi
Talk to Us	Nói chuyện với chúng tôi
View Larger Map	Xem bản đồ lớn hơn
Check-In	Check-In
Check-Out	Kiểm Tra
How Did You Hear About Us?	Bạn Đã Nghe Về Chúng Tôi Như Thế Nào?
Comments	Comments
Submit	Đệ trình
You May Also Like	Bạn cũng có thể thích
News & Events	Tin tức & Sự kiện
Connect With Us	Kết nối với chúng tôi
Find your InstaVilla	Tìm InstaVilla của bạn
Search for Availability	Tìm kiếm Sẵn có
Search	Tìm kiếm
Clear	Trong sáng
Advanced	Nâng cao
Applies To	Áp dụng cho
Adults	Người lớn
Children	Con cái
Update	Cập nhật
Close	Gần
more	hơn
less	ít hơn
Show More Results	Hiện More Results
There are no more results	Không có kết quả hơn
List	Danh sách
Photo	Ảnh
View as	Xem như
There are currently no active promotions/specials	Hiện tại không có chương trình khuyến mãi / đặc biệt hoạt động
Effective Date	Ngày có hiệu lực
Expiration Date	Ngày Hết Hạn
Apply	Ứng dụng
Coupon Code	Phiêu Mã
See Details	Xem chi tiết
Address	Địa chỉ
City	Thành phố
State	Trạng thái
Country	Nước
Region	Vùng
Neighborhood	Vùng lân cận
Postal Code	Mã bưu chính
Province	Tỉnh
Town	Thành phố
Fast Secure Online Booking	Nhanh chóng an toàn Đặt phòng trực tuyến
Charges	Phí
Taxes & Fees	Thuế & Phí
Rent (including Taxes,Fees,& Deposits)	Thuê (bao gồm thuế, lệ phí, và tiền gửi)
Rent (including Taxes & Fees)	Thuê (bao gồm Thuế & Phí)
Rent (including Taxes)	Thuê (bao gồm thuế)
Rent (including Fees)	Thuê (bao gồm cả lệ phí)
Optional Fees	Lệ phí không bắt buộc
Refundable Security Deposit	Hoàn lại cọc an ninh
Booking Details	Chi tiết đặt
Rent	Thuê
Fees	Phí
Taxes	Thuế
Optional Fees & Services	Phí & Dịch vụ tùy chọn
Deposits	Tiền gửi
Discounts	Giảm giá
Sub Total	Sub Total
Total	Tổng số
First Name	Tên
Last Name	Tên họ
Special Requests	Các yêu cầu đặc biệt
Change Info	Thay đổi thông tin
Accept Terms and Conditions	Chấp nhận Điều khoản và Điều kiện
Please fill out all required fields	Hãy điền vào tất cả các lĩnh vực cần thiết
The entered credit card is invalid	Thẻ tín dụng nhập không hợp lệ
Please accept the terms and conditions	Hãy chấp nhận các điều khoản và điều kiện
Guest Information	Thông tin khách hàng
Credit Card Information	Thông tin thẻ tín dụng
Name on Card	Tên trên thẻ
Card Type	Loại thẻ
Card Number	Số Thẻ
Expiration	Hết hạn
Month	Tháng
Year	Năm
Security Code	Mã Bảo Mật
Amount to be charged now	Số tiền sẽ được tính phí tại
Amount Paid	Số đã nộp
Amount Due Now	Số tiền Do Bây giờ
Billing Address	Địa chỉ thanh toán
Street Line 1	Đường Line 1
Street Line 2	Đường Line 2
I have read and accept the terms and conditions	Tôi đã đọc và chấp nhận các điều khoản và điều kiện
