Property Details	Caracteristiques de la propietat
Property	Propietat
Properties	Propietats
Development	Grup de propietats
Developments	Grups de propietats
Details	Detalls
Select	Seleccionar
General	General
Rates & Availability	Preus i disponibilitat
Reviews	Comentaris
Description	Descripció
Amenities	Serveis inclosos
Rates	Preus
Availability	Disponibilitat
Compare	Comparar
Property Name	Nom de la propietat
Category	Categoria
Beds	Llits
Baths	Banys
Sleeps	Capacitat
Book Now	Reserva ara
Details & Availability	Detalls i disponibilitat
Attractions	Llocs d’interés 
Distance	La Distància
Stories	Histories 
Floor	Pis
No rates available	Preus no disponibles
Back to Results	Tornar als resultats
Search Buckets	Cerques predefinides
Specials	Especials
All Rentals	Tots els Lloguers
Would you like to	Li agradaria
Print this Page	Imprimir aquesta pàgina
Available Properties	Propietats disponibles
This page is secure	Aquesta pàgina és segura
check here	Seleccionar aquí
Unit Size	Tamany de la unitat
Posted on	Publicat el
Map & Attractions	Plànol i llocs d’interès
Map	Plànol
Location	Emplaçament
Nearby Rentals	Lloguers propers
Enquire Now	Consulteu ara
Have a Question?	Tens una pregunta?
Name	Nom
Phone	Telèfon
Email	Adreça correu electrònic
Toll Free	Prefixe telèfonic gratuït
Fax	Fax
Direct	Directe
Mobile	Mòbil
Skype	Skype
Web Address	Adreça plana web
Contact Us	Contactan’s 
Our Address	La nostra adreça
Talk to Us	Parla'ns
View Larger Map	Veure plànol més ran
Check-In	Arribada
Check-Out	Sortida
How Did You Hear About Us?	Com ens has conegut?
Comments	Comentaris
Submit	Enviar
You May Also Like	També t’agradarà
News & Events	Notícies i esdeveniments
Connect With Us	Connecta't amb nosaltres
Find your InstaVilla	Troba la teva casa
Search for Availability	Cercar disponibilitat
Search	Cerca
Clear	Esborrar
Advanced	Avançada
Applies To	Aplica a 
Adults	Adults
Children	Nens
Update	Actualització
Close	Tancar 
more	Més
less	Menys
Show More Results	Mostra més resultats
There are no more results	No hi ha més resultats
List	Llista
Photo	Foto
View as	Veure com
My WishList	La meva llista de preferències
WishList	Llista de preferències
WishListed	Llista de preferències seleccionades
There are currently no active promotions/specials	Actualment no hi ha activa cap promoció
Effective Date	Data efectiva
Expiration Date	Data Venciment
Apply	Aplicar
Coupon Code	Codi del cupó promocional
See Details	Veure detalls
Address	Adreça
City	Ciutat
State	Estat
Country	País
Region	Regió
Neighborhood	Barri
Postal Code	Codi Postal
Province	Província
Town	Ciutat
Fast Secure Online Booking	Reserva online segura
Charges	Càrrecs
Taxes & Fees	Impostos i taxes
Rent (including Taxes,Fees,& Deposits)	Preu Lloguer (Tarifa, impostos, i dipósits inclosos)
Rent (including Taxes & Fees)	Preu Lloguer (Tarifa i importos inclosos)
Rent (including Taxes)	Preu Lloguer (Impostos inclosos) 
Rent (including Fees)	Preu Lloguer (Tarifes incloses) 
Optional Fees	Tarifes opcionals
Refundable Security Deposit	Dipòsit reemborsable de garantia 
Booking Details	Dades de la Reserva
Rent	Lloguer
Fees	Preu Lloguer
Taxes	Impostos
Optional Fees & Services	Comissions i Serveis Opcionals
Deposits	Dipòsits
Discounts	Descomptes
Sub Total	Sub Total
Total	Total
First Name	Nom
Last Name	Cognom
Special Requests	Sol.licituds Especials
Change Info	Canviar informació.
