Property Details	Detaljer
Property	Ejendom
Properties	Egenskaber
Development	Udvikling
Developments	Udviklingen
Details	Detaljer
Select	Vælg
General	Generelt
Rates & Availability	Priser og tilgængelighed
Reviews	Anmeldelser
Description	Beskrivelse
Amenities	Faciliteter
Rates	Priser
Availability	Tilgængelighed
Compare	Sammenlign
Property Name	Ejendom Navn
Category	Kategori
Beds	Senge
Baths	Baths
Sleeps	Sovepladser
Book Now	Book nu
Details & Availability	Detaljer og tilgængelighed
Attractions	Seværdigheder
Distance	Afstand
Stories	Historier
Floor	Etage
No rates available	Ingen priser til rådighed
Back to Results	Tilbage til resultater
Search Buckets	Søg Skovle
Specials	Tilbud
All Rentals	Alle Rentals
Would you like to	Kunne du tænke dig at
Print this Page	Udskriv denne side
Available Properties	Tilgængelige egenskaber
This page is secure	Denne side er sikker
check here	tjek her
Unit Size	Enhed Størrelse
Posted on	Sendt den
Map & Attractions	Kort & seværdigheder
Map	Kort
Location	Beliggenhed
Nearby Rentals	Nærliggende Rentals
Enquire Now	Spørg NU
Have a Question?	Har du et spørgsmål?
Name	Navn
Phone	Telefon
Email	Email
Toll Free	Toll Free
Fax	Fax
Direct	Direkte
Mobile	Mobile
Skype	Skype
Web Address	Web-adresse
Contact Us	Kontakt os
Our Address	Vores adresse
Talk to Us	Tal med os
View Larger Map	Vis stort kort
Check-In	Check-In
Check-Out	Check-Out
How Did You Hear About Us?	Hvordan har du hørt om os?
Comments	Kommentarer
Submit	Indsend
You May Also Like	Du kan også lide
News & Events	Nyheder og begivenheder
Connect With Us	Slut med os
Find your InstaVilla	Find din InstaVilla
Search for Availability	Søg efter tilgængelighed
Search	Søg
Clear	Ryd
Advanced	Avanceret
Applies To	Gælder for
Adults	Voksne
Children	Børn
Update	Opdatering
Close	Luk
more	mere
less	mindre
Show More Results	Vis flere resultater
There are no more results	Der er ikke flere resultater
List	Liste
Photo	Foto
View as	Vis som
There are currently no active promotions/specials	Der er i øjeblikket ingen aktive kampagner / tilbud
Effective Date	Ikrafttrædelsesdato
Expiration Date	Udløbsdato
Apply	Anvend
Coupon Code	Kuponkode
See Details	Se Detaljer
Address	Adresse
City	By
State	Stat
Country	Land
Region	Region
Neighborhood	Neighborhood
Postal Code	Postnummer
Province	Province
Town	By
Fast Secure Online Booking	Hurtig Secure Online Booking
Charges	Afgifter
