Property Details	Rincian Properti
Property	Harta Benda
Properties	Properti
Development	Pembangunan
Developments	Perkembangan
Details	Rincian
Select	Memilih
General	Umum
Rates & Availability	Harga & Ketersediaan
Reviews	Ulasan
Description	Deskripsi
Amenities	Fasilitas
Rates	Tarif
Availability	Tersedianya
Compare	Membandingkan
Property Name	Nama properti
Category	Kategori
Beds	Ranjang
Baths	Baths
Sleeps	Sleeps
Book Now	Pesan Sekarang
Details & Availability	Detail & Ketersediaan
Attractions	Atraksi
Distance	Jarak
Stories	Cerita
Floor	Lantai
No rates available	Tidak ada tarif tersedia
Back to Results	Kembali ke Hasil
Search Buckets	Cari Ember
Specials	Spesial
All Rentals	Semua tentang
Would you like to	Apakah Anda ingin
Print this Page	Cetak Halaman ini
Available Properties	Properti Tersedia
This page is secure	Halaman ini aman
check here	cek di sini
Unit Size	Unit Ukuran
Posted on	Posted on
Map & Attractions	Peta & Atraksi
Map	Peta
Location	Tempat
Nearby Rentals	Sewa terdekat
Enquire Now	Tanyakan Sekarang
Have a Question?	Memiliki Pertanyaan?
Name	Nama
Phone	Telepon
Email	Email
Toll Free	Pulsa Gratis
Fax	Fax
Direct	Langsung
Mobile	Mobil
Skype	Skype
Web Address	Alamat Web
Contact Us	Hubungi Kami
Our Address	Alamat kami
Talk to Us	Berbicara dengan Kami
View Larger Map	Lihat Peta Lebih Besar
Check-In	Mendaftar
Check-Out	Check Out
How Did You Hear About Us?	Bagaimana Apakah Anda Mendengar Tentang Kami?
Comments	Komentar
Submit	Menyerahkan
You May Also Like	Anda Mungkin Juga Suka
News & Events	Berita & Acara
Connect With Us	Terhubung Dengan Kami
Find your InstaVilla	Cari InstaVilla Anda
Search for Availability	Mencari Ketersediaan
Search	Pencarian
Clear	Yang Jelas
Advanced	Maju
Applies To	Berlaku Untuk
Adults	Orang Dewasa
Children	Anak Anak
Update	Memperbarui
Close	Dekat
more	lebih banyak
less	lebih sedikit
Show More Results	Tampilkan Hasil Lainnya
There are no more results	Tidak ada hasil yang lebih
List	Daftar
Photo	Foto
View as	Lihat sebagai
There are currently no active promotions/specials	Saat ini tidak ada yang aktif promosi / spesial
Effective Date	Tanggal Berlaku
Expiration Date	Tanggal Kadaluarsa
Apply	Mengajukan Permohonan
Coupon Code	Kode Kupon
See Details	Lihat Detail
Address	Alamat
City	Kota
State	Negara
Country	Negara
Region	Daerah
Neighborhood	Lingkungan
Postal Code	Kode Pos
Province	Propinsi
Town	Kota
