Property Details	不動産の詳細
Property	プロパティ
Properties	プロパティ
Development	開発
Developments	開発
Details	細部
Select	選択する
General	一般的な
Rates & Availability	料金＆空室
Reviews	レビュー
Description	説明
Amenities	アメニティ
Rates	料金
Availability	可用性
Compare	比較する
Property Name	プロパティ名
Category	カテゴリ
Beds	ベッド
Baths	浴場
Sleeps	眠る
Book Now	今すぐ予約
Details & Availability	詳細と販売について
Attractions	観光名所
Distance	距離
Stories	ストーリー
Floor	フロア
No rates available	ご利用いただけません料金
Back to Results	結果に戻る
Search Buckets	検索バケツ
Specials	スペシャル
All Rentals	すべてのレンタル
Would you like to	あなたはしたいですか
Print this Page	このページを印刷
Available Properties	利用可能なプロパティ
This page is secure	このページは安全です
check here	ここでチェック
Unit Size	ユニットのサイズ
Posted on	上の投稿
Map & Attractions	マップとアトラクション
Map	マップ
Location	場所
Nearby Rentals	近所のレンタル
Enquire Now	今お尋ね
Have a Question?	質問がありますか？
Name	名前
Phone	電話
Email	メール
Toll Free	通話料無料
Fax	ファックス
Direct	ダイレクト
Mobile	モバイル
Skype	スカイプ
Web Address	Webアドレス
Contact Us	お問い合わせ
Our Address	私たちのアドレス
Talk to Us	私たちに講演
View Larger Map	大きな地図で見る
Check-In	チェックイン
Check-Out	チェックアウト
How Did You Hear About Us?	私たちのことをどこで知りましたか？
Comments	注釈
Submit	提出する
You May Also Like	あなたもご覧
News & Events	ニュース＆イベント
Connect With Us	私たちと一緒に接続します
Find your InstaVilla	あなたのInstaVillaを探す
Search for Availability	空室を検索する
Search	検索
Clear	クリア
Advanced	高度な
Applies To	に適用されます
Adults	大人
Children	子供
Update	アップデート
Close	クローズ
more	もっと
less	もっと少なく
Show More Results	その他の結果を表示
There are no more results	これ以上の結果はありません
List	リスト
Photo	フォト
View as	として表示
There are currently no active promotions/specials	アクティブなプロモーション/スペシャルはありません...
Effective Date	発効日
Expiration Date	有効期限
Apply	適用する
Coupon Code	クーポンコード
See Details	詳細を参照してください
Address	アドレス
City	シティ
State	状態
Country	カントリー
Region	地域
Neighborhood	ご近所
Postal Code	郵便番号
Province	県
Town	タウン
Fast Secure Online Booking	高速で確実なオンライン予約
Charges	課金
Taxes & Fees	税およびサービス料
Rent (including Taxes,Fees,& Deposits)	家賃（税金、手数料、および預金を含む）
Rent (including Taxes & Fees)	（税およびサービス料を含む）家賃
Rent (including Taxes)	（税込み）家賃
Rent (including Fees)	（手数料含む）家賃
Optional Fees	オプション料金
Refundable Security Deposit	返金保証金
Booking Details	予約の詳細
Rent	家賃
Fees	手数料
Taxes	税金
Optional Fees & Services	オプション料金＆サービス
Deposits	預金
Discounts	割引
Sub Total	小計
Total	合計
First Name	ファーストネーム
Last Name	苗字
Special Requests	特別なリクエスト
Change Info	変更情報
Accept Terms and Conditions	利用規約に同意
Please fill out all required fields	すべての必須項目にご記入ください
The entered credit card is invalid	入力されたクレジットカードが無効です
Please accept the terms and conditions	条件に同意してください
