Property Details	Detalhes sobre a propriedade
Property	Propriedade
Properties	Propriedades
Development	Desenvolvimento
Developments	Developments
Details	Detalhes
Select	Selecionar
General	Geral
Rates & Availability	Taxas e disponibilidade
Reviews	Avaliações
Description	Descrição
Amenities	Amenidades
Rates	Preços
Availability	Disponibilidade
Compare	Comparar
Property Name	Nome Da Propriedade
Category	Categoria
Beds	Camas
Baths	Banhos
Sleeps	Sleeps
Book Now	Livro Agora
Details & Availability	Detalhes e disponibilidade
Attractions	Atrações
Distance	Distância
Stories	Histórias
Floor	Andar
No rates available	Preços não disponíveis
Back to Results	Voltar aos Resultados
Search Buckets	Pesquisa Baldes
Specials	Specials
All Rentals	Todas as Férias
Would you like to	Você gostaria de
Print this Page	Imprima esta página
Available Properties	Propriedades Disponíveis
This page is secure	Esta página é segura
check here	confira aqui
Unit Size	Tamanho da unidade
Posted on	Postado em
Map & Attractions	Mapa e Atrações
Map	Mapa
Location	Localização
Nearby Rentals	Férias nas proximidades
Enquire Now	Informe-se agora
Have a Question?	Tem uma pergunta?
Name	Nome
Phone	Telefone
Email	O Email
Toll Free	Toll Free
Fax	Fax
Direct	Direto
Mobile	Móvel
Skype	Skype
Web Address	Endereço Web
Contact Us	Fale Conosco
Our Address	Nosso endereço
Talk to Us	Fale Connosco
View Larger Map	Exibir mapa ampliado
Check-In	Check-In
Check-Out	Confira
How Did You Hear About Us?	Como Você Ficou Sabendo Sobre Nós?
Comments	Comentários
Submit	Submeter
You May Also Like	Você Pode Gostar
News & Events	Notícias e eventos
Connect With Us	Conecte-Se Conosco
Find your InstaVilla	Encontre o seu InstaVilla
Search for Availability	Procurar por disponibilidade
Search	Pesquisa
Clear	Claro
Advanced	Avançado
Applies To	Aplica-Se A
Adults	Adultos
Children	Crianças
Update	Atualizar
Close	Perto
more	a mais
less	menos
Show More Results	Mostrar mais resultados
There are no more results	Há mais resultados
List	Lista
Photo	Foto
View as	Vista como
There are currently no active promotions/specials	Atualmente não há ativos promoções / specials
Effective Date	Data Efetiva
Expiration Date	Prazo De Validade
