Property Details	房產詳細信息
Property	財產
Properties	性能
Development	發展
Developments	發展
Details	詳細信息
Select	選擇
General	一般
Rates & Availability	價格和可用性
Reviews	點評
Description	描述
Amenities	設施
Rates	價格
Availability	可用性
Compare	比較
Property Name	物業名稱
Category	類別
Beds	床
Baths	浴場
Sleeps	睡覺
Book Now	現在預訂
Details & Availability	詳情及可用性
Attractions	旅遊景點
Distance	距離
Stories	故事
Floor	地板
No rates available	沒有優惠的價格
Back to Results	返回結果
Search Buckets	搜索桶
Specials	特價
All Rentals	所有出租
Would you like to	你是否想要
Print this Page	打印此頁
Available Properties	可用屬性
This page is secure	此頁面是安全的
check here	點擊這裡
Unit Size	產品尺寸
Posted on	發表於
Map & Attractions	地圖與景點
Map	地圖
Location	地點
Nearby Rentals	附近出租
Enquire Now	現在諮詢
Have a Question?	有問題嗎？
Name	名字
Phone	電話
Email	電子郵件
Toll Free	免費電話
Fax	傳真
Direct	直接
Mobile	移動
Skype	Skype的
Web Address	網址
Contact Us	聯繫我們
Our Address	我們的地址
Talk to Us	與我們交談
View Larger Map	查看大圖
Check-In	報到
Check-Out	查看
How Did You Hear About Us?	你是怎麼知道我們的？
Comments	評論
Submit	提交
You May Also Like	您可能還喜歡
News & Events	新聞事件
Connect With Us	與我們保持聯繫
Find your InstaVilla	找到你的InstaVilla
Search for Availability	搜尋空房
Search	搜索
Clear	明確
Advanced	先進
Applies To	適用於
Adults	成人
Children	孩子們
Update	更新
Close	近
more	更多
less	減
Show More Results	顯示更多結果
There are no more results	沒有更多的結果
List	名單
Photo	照片
View as	查看
There are currently no active promotions/specials	目前沒有活動促銷/特價
Effective Date	生效日期
Expiration Date	截止日期
Apply	申請
Coupon Code	優惠券代碼
See Details	查看詳情
Address	地址
City	城市
State	狀態
Country	國家
Region	區域
Neighborhood	鄰里
Postal Code	郵政編碼
Province	省
Town	鎮
Fast Secure Online Booking	快速安全的在線預訂
Charges	收費
Taxes & Fees	稅務及費用
Rent (including Taxes,Fees,& Deposits)	租金（包括稅費，費用，和存款）
Rent (including Taxes & Fees)	租金（包括稅務及費用）
Rent (including Taxes)	租金（含稅）
Rent (including Fees)	租金（包括費用）
Optional Fees	可選收費
Refundable Security Deposit	退還保證金
Booking Details	預訂詳情
Rent	租金
Fees	費用
Taxes	稅
Optional Fees & Services	可選的收費與服務
Deposits	存款
Discounts	折扣
Sub Total	小計
Total	總
First Name	名字
Last Name	姓
Special Requests	特別要求
Change Info	變化信息
Accept Terms and Conditions	接受條款和條件
Please fill out all required fields	請填寫所有必填字段
The entered credit card is invalid	輸入的信用卡是無效的
Please accept the terms and conditions	請接受的條款和條件
Guest Information	客戶信息
Credit Card Information	信用卡信息
Name on Card	持卡人姓名
Card Type	卡類型
Card Number	卡號
Expiration	呼氣
Month	月
Year	年
Security Code	安全碼
Amount to be charged now	量要收取現
Amount Paid	支付的金額
Amount Due Now	量由於現在
Billing Address	帳單地址
Street Line 1	街1號線
Street Line 2	街2號線
I have read and accept the terms and conditions	我已閱讀並接受條款和條件
Terms of Service	服務條款
Rental Policy	租賃政策
Booking Disclaimer	免責聲明預訂
Review Now	現在回顧
Reserve Now	現在就預訂
You Saved	您節省了
Status	狀態
Created On	創建於
Hold Confirmation Number	持有確認號碼
Quoted Rate	引用率
We are looking forward to your visit	我們期待著您的光臨
in the mean time	同時
you may want to review one of these links	你可能要檢查這些鏈接之一
Map and Description of Local Attractions	地圖和當地景點簡介
More Info About	更多關於
located in	位於
Complete your booking now	現在完成預訂
click here	點擊這裡
Your booking will be held until	您的預訂將被保留至
A service from	從服務
Best Regards	最好的問候
Thank you for your interest in	感謝您的興趣
Toll-Free	免費電話
Confirmed	確認
Held	舉行
Checked In	在檢查
Checked Out	簽出
Cancelled	取消
Pending Confirmation	待定確認
Weather	天氣
Special Offers	特別優惠
Blog	博客
Featured Suites	特色套房
Revise Search	修改搜索
Similar Properties	類似房產
